,Episode,Training_Accuracy,Validation_Accuracy
710,,0.0,0.0
711,,0.36666666666666664,0.0
712,,0.0,0.0
713,,0.0,0.0
714,,0.0,0.0
715,,0.0,0.0
716,,0.0,0.15384615384615385
717,,0.0,0.0
718,,0.0,0.0
719,,0.8235294117647058,0.2222222222222222
720,,0.0,0.0
721,,0.0,0.0
722,,0.8571428571428571,0.0
723,,0.0,0.0
724,,0.0,0.0
725,,0.6744186046511628,0.0
726,,0.0,0.0
727,,0.0,0.38461538461538464
728,,0.0,0.0
729,,0.0,0.08695652173913043
730,,0.125,0.6666666666666666
731,,0.0,0.0
732,,0.0,0.5192878338278925
733,,0.0,0.0
734,,0.0,0.0
735,,0.0,0.0
736,,0.0,0.18181818181818182
737,,0.6785714285714286,0.0
738,,0.2857142857142857,0.0
739,,0.0,0.0
740,,0.0,0.2727272727272727
741,,0.0,0.0
742,,0.0,0.0
743,,0.0,0.0
744,,0.0,0.058823529411764705
745,,0.0,0.0
746,,0.0,0.0
747,,0.9,0.7954545454545454
748,,0.46875,0.0
749,,0.0,0.0
750,,0.0,0.0
751,,0.0,0.1875
752,,0.0,0.0
753,,0.0,0.0
754,,0.3333333333333333,0.038461538461538464
755,,0.0,0.0
756,,0.28205128205128205,0.0
757,,0.0,0.15384615384615385
758,,0.0,0.0
759,,0.0,0.0
760,,0.025263157894713867,0.7
761,,0.0,0.0
762,,0.0,0.0
763,,0.8333333333333334,0.0
764,,0.0,0.5
765,,0.0,0.0
766,,0.0,0.5652173913043478
767,,0.0,0.0
768,,0.0,0.0
769,,0.0,0.0
770,,0.0,0.0
771,,0.6086956521739131,0.0
772,,0.0,0.0
773,,0.0,0.42857142857142855
774,,0.0,0.0
775,,0.2,0.0
776,,0.0,0.5909090909090909
777,,0.0,0.4
778,,0.0,0.0
779,,0.0,0.0
780,,0.2608695652173913,0.0
781,,0.1111111111111111,0.0
782,,0.0,0.0
783,,0.0,0.0
784,,0.0,0.0
785,,0.0,0.0
786,,0.0,0.0
787,,0.0,0.0
788,,0.0,0.7
789,,0.0,0.0
790,,0.9166666666666666,0.0
791,,0.0,0.0
792,,0.0,0.0
793,,0.05263157894736842,0.0
794,,0.0,0.06382978723404255
795,,0.0,0.4166666666666667
796,,0.0,0.0
797,,0.0,0.0
798,,0.0,0.0
799,,0.0,0.0
800,,0.0,0.0
801,,0.0,0.0
802,,0.3333333333333333,0.0
803,,0.0,0.0
804,,0.8461538461538461,0.4166666666666667
805,,0.0,0.25
806,,0.0,0.7380952380952381
807,,0.1111111111111111,0.0
808,,0.0,0.09090909090909091
809,,0.0,0.0
810,,0.0,0.0
811,,0.23529411764705882,0.6551724137931034
812,,0.0,0.0
813,,0.0,0.7307692307692307
814,,0.0,0.0
815,,0.25,0.0
816,,0.0,0.0
817,,0.0,0.7307692307692307
818,,0.0,0.0
819,,0.0,0.0
820,,0.045454545454545456,0.0
821,,0.0,0.0
822,,0.3829787234042553,0.0
823,,0.0,0.0
824,,0.0,0.0
825,,0.0,0.05555555555555555
826,,0.0,0.0
827,,0.696969696969697,0.0
828,,0.07692307692307693,0.0
829,,0.0,0.0
830,,0.0,0.0
831,,0.5294117647058824,0.0
832,,0.0,0.0
833,,0.0,0.3157894736842105
834,,0.0,0.044444444444444446
835,,0.6440677966101694,0.59375
836,,0.0,0.0
837,,0.0,0.043478260869565216
838,,0.0,0.0
839,,0.0,0.0
840,,0.0,0.0
841,,0.6086956521739131,0.0
842,,0.0,0.2
843,,0.0,0.0
844,,0.0,0.0
845,,0.0,0.0
846,,0.0,0.0
847,,0.9523809523809523,0.0
848,,0.0,0.0
849,,0.0,0.5344827586206896
850,,0.0,0.0
851,,0.0,0.15
852,,0.0,0.46938775510204084
853,,0.6538461538461539,0.0
854,,0.0,0.0
855,,0.9,0.0
856,,0.5555555555555556,0.0
857,,0.0,0.0
858,,0.25,0.0
859,,0.36363636363636365,0.5769230769230769
860,,0.2777777777777778,0.8
861,,0.4444444444444444,0.0
862,,0.0,0.5789473684210527
863,,0.0,0.0
864,,0.0,0.05555555555555555
865,,0.6785714285714286,0.0
866,,0.0,0.25
867,,0.0,0.0967741935483871
868,,0.0,0.0
869,,0.0,0.0
870,,0.5588235294117647,0.0
871,,0.0,0.058823529411764705
872,,0.0,0.0
873,,0.43333333333333335,0.0
874,,0.0,0.0
875,,0.0,0.0
876,,0.813953488372093,0.5714285714285714
877,,0.0,0.0
878,,0.6666666666666666,0.0
879,,0.0,0.0
880,,0.3333333333333333,0.0
881,,0.0,0.21052631578947367
882,,0.0,0.0
883,,0.5,0.5789473684210527
884,,0.0,0.2857142857142857
885,,0.0,0.0
886,,0.0,0.0
887,,0.5517241379310345,0.0
888,,0.40476190476190477,0.0
889,,0.0,0.06382978723404255
890,,0.0,0.29411764705882354
891,,0.0,0.0
892,,0.0,0.10714285714285714
893,,0.0,0.0
894,,0.6666666666666666,0.0
895,,0.0,0.43333333333333335
896,,0.0,0.0
897,,0.0,0.0
898,,0.0,0.0
899,,0.35294117647058826,0.16666666666666666
900,,0.0,0.0
901,,0.65625,0.0
902,,0.0,0.07142857142857142
903,,0.7142857142857143,0.0
904,,0.0,0.0
905,,0.0,0.35294117647058826
906,,0.42857142857142855,0.0
907,,0.0,0.0
908,,0.25,0.0
909,,0.0,0.21818181818181817
